Issue Key;Created Date;Коммуникация направлена;Новая;Отклонен;Размещено в БЗ;Согласовано ЦПК;Согласовано с бизнесом;Согласовано с маркетингом;ХОЛД;Resolution Date;T2M (days)
CAMPEIGN-38353;2025-09-03 12:41:14;41.2138;11.9214;0.0;0.0225;1.8254;14.8972;0.1148;0.0;2025-11-12 12:34:06;69.9950462962963
CAMPEIGN-38363;2025-09-03 15:52:54;56.1068;5.5904;0.0;0.0205;6.0786;1.4349;0.5183;0.1125;2025-11-12 12:34:05;69.86193287037037
CAMPEIGN-38392;2025-09-04 11:13:31;0.0;0.1225;68.9335;0.0;0.0;0.0;0.0;0.0;2025-11-12 12:34:04;69.0559375
CAMPEIGN-38422;2025-09-05 10:07:01;42.2039;3.0822;0.0;0.0077;11.76;11.0408;0.0076;0.0;2025-11-12 12:34:04;68.10211805555555
CAMPEIGN-38439;2025-09-05 13:30:51;61.1893;4.7086;0.0;0.0068;0.8002;1.2471;0.0087;0.0;2025-11-12 12:34:03;67.96055555555556
CAMPEIGN-38441;2025-09-05 13:53:03;41.0352;3.7962;0.0;0.0133;6.1927;7.141;0.7281;9.0386;2025-11-12 12:34:03;67.94513888888889
CAMPEIGN-38442;2025-09-05 13:56:03;12.9404;3.7945;0.0;0.0184;24.0887;20.9711;0.0543;6.0756;2025-11-12 12:34:02;67.94304398148148
CAMPEIGN-38446;2025-09-05 14:29:05;5.1336;3.7732;0.0;0.0042;18.1502;32.1415;2.643;6.0744;2025-11-12 12:34:01;67.9200925925926
CAMPEIGN-38455;2025-09-08 07:40:07;0.0;2.9882;33.9093;0.0;0.0;0.5578;0.0;27.7488;2025-11-12 12:34:01;65.20409722222222
CAMPEIGN-38459;2025-09-08 09:12:50;40.0441;3.0643000000000002;0.0;0.0233;3.116;3.8541;0.006;15.0319;2025-11-12 12:34:01;65.13971064814815
CAMPEIGN-38478;2025-09-08 12:52:06;6.2164;3.0057;0.0;0.0005;47.9332;7.1426;0.6891;0.0;2025-11-12 12:34:00;64.98743055555556
CAMPEIGN-38491;2025-09-09 07:17:50;14.923;2.4838999999999998;0.0;0.0075;7.9882;12.9941;0.0236;25.7991;2025-11-12 12:33:59;64.21954861111111
CAMPEIGN-38511;2025-09-09 14:55:21;43.2322;5.7791;0.0;0.0101;6.6857;2.25;0.019;5.9257;2025-11-12 12:33:59;63.90182870370371
CAMPEIGN-38516;2025-09-10 06:41:56;43.2323;5.1152999999999995;0.0;0.0102;6.6856;2.2615;0.0173;5.9222;2025-11-12 12:33:58;63.24446759259259
CAMPEIGN-38562;2025-09-11 07:43:52;46.8852;4.1182;0.0;0.0121;2.2886;8.863;0.0343;0.0;2025-11-12 12:33:58;62.201458333333335
