Employee Department;Field;Count
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;Дата запуска;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;Разделение целевой аудитории по каналам;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел развития клиентского опыта;Текст рассылки или сам макет;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел развития клиентского опыта в каналах привлечения и обслуживания;Link;5
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел развития клиентского опыта в каналах привлечения и обслуживания;Attachment;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел развития клиентского опыта в каналах привлечения и обслуживания;Comment;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел развития клиентского опыта в каналах привлечения и обслуживания;status;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел развития клиентского опыта в каналах привлечения и обслуживания;Оценка выполнения;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел улучшения клиентского опыта в продуктах и процессах;assignee;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел улучшения клиентского опыта в продуктах и процессах;Описание проекта/задачи бизнеса;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Attachment;9
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;status;8
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Комментарий к оценке;5
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Оценка выполнения;5
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Текст рассылки или сам макет;5
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Кто отрабатывает заявку;4
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;description;3
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;summary;3
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Способ уведомления клиентов;3
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;resolution;2
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;assignee;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Критерии отбора целевой аудитории;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Куда мы ведем клиента из рассылки/баннера;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Область значений;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Описание проекта/задачи бизнеса;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Продукт и/или клиентский путь;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;Ссылка с информацией для сотрудников в Базе знаний;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;status;10601
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;assignee;4967
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;resolution;3207
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Attachment;2685
