Employee Department;Total Actions;Top 3 Operations
Департамент развития программы лояльности и нефинансовых сервисов, Дирекция развития бизнеса с партнерами, Управление развития сервисов партнерских предложений, Отдел интеграции партнеров;8;Attachment (5), Описание проекта/задачи бизнеса (2), RemoteIssueLink (1)
Департамент развития процессов сервиса и взыскания, Дирекция развития процессов, Управление поддержки и развития процессов сервиса, Отдел процессов сервиса юридических лиц;8;Attachment (6), status (1), Оценка выполнения (1)
Операционный департамент, Дирекция сопровождения кредитных и транзакционных сделок, Управление методологического обеспечения и контроля процессов, Отдел методологии и развития процессов валютного контроля;8;description (5), Attachment (3)
Департамент по управлению эффективностью и реализации проектов информационных технологий, Дирекция информационных технологий в г. Санкт-Петербурге, Управление технологического развития малого и микробизнеса;8;RemoteIssueLink (6), Описание проекта/задачи бизнеса (2)
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта;7;status (3), Attachment (2), Link (1)
Управление продуктовой аналитики и координации развития цифровых каналов;7;Attachment (5), description (1), Ответственные (1)
Операционный департамент, Дирекция сопровождения клиентских операций, Управление поддержки процессов операционно-сервисного обслуживания клиентов, Отдел поддержки корпоративных клиентов;7;Attachment (7)
Департамент технологического развития корпоративного бизнеса, Дирекция технологического развития корпоративного кредитного процесса, Управление аналитики корпоративного кредитного процесса;6;RemoteIssueLink (5), description (1)
Департамент технологического развития корпоративного бизнеса, Дирекция технологического развития инвестиционного бизнеса, Управление технологий фронт-офиса ИБ;6;description (3), RemoteIssueLink (1), resolution (1)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция сегментированных предложений и инноваций, Управление продвижения отраслевых предложений;6;Attachment (3), assignee (2), description (1)
Дирекция по развитию розничных продаж, Управление развития эффективности сотрудников, Отдел обеспечения эффективности сотрудников;6;Attachment (6)
Департамент дистанционной поддержки клиентов, Дирекция телефонных продаж, Управление продаж ЮЛ;6;Attachment (6)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление развития торгового эквайринга, Отдел развития платежных решений;6;Attachment (2), RemoteIssueLink (2), Comment (1)
Департамент развития транзакционных продуктов, Дирекция развития дебетовых продуктов, Управление разработки дебетовых продуктов;6;Attachment (4), Epic Link (1), Link (1)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление развития процессов сопровождения торгового эквайринга, Отдел контроля подключения и сервисного обслуживания торгового эквайринга;6;description (6)
Департамент разработки и поддержки продаж транзакционных продуктов, Дирекция развития продаж продуктов электронной коммерции и платежных сервисов, Управление развития продаж продуктов электронной коммерции и торгового эквайринга среднего бизнеса;5;Attachment (2), description (1), Бриф по маркетинговым материалам (1)
Дирекция развития ботов и виртуальных ассистентов, Управление развития цифровых диалоговых систем;4;Attachment (3), description (1)
Департамент развития эквайринга и платежных сервисов, Дирекция продаж продуктов электронной коммерции;4;RemoteIssueLink (4)
Департамент продаж и развития малого и микробизнеса, Дирекция по развитию и обслуживанию клиентов малого и микробизнеса, Управление по развитию отношений с клиентами, Отдел по развитию отношений с клиентами в регионах;3;Attachment (3)
Департамент разработки цифровых сервисов, Дирекция автоматизации нефинансовых и инвестиционных сервисов;3;Link (2), RemoteIssueLink (1)
Дирекция предотвращения кибермошенничества, Управление фрод мониторинга, Отдел мониторинга ДБО юридических лиц;3;status (1), Комментарий к оценке (1), Оценка выполнения (1)
Департамент управления сетью, Дирекция развития и трансформации сети, Отдел трансформации сети;3;Attachment (1), Дата запуска (1), Нужно обновление (1)
Операционный департамент, Дирекция налично-денежного обращения, Управление поддержки и развития процессов налично-денежного обращения, Отдел развития процессов;3;Attachment (1), Link (1), summary (1)
Департамент кибербезопасности, Дирекция безопасности инфраструктуры, Управление сопровождения систем кибербезопасности, Отдел сопровождения систем защиты от кибератак;3;description (3)
Департамент вторичных продаж розничным клиентам и персонализации, Дирекция персонализации и оптимизации продаж, Отдел бизнес-персонализации;3;assignee (3)
Департамент повышения эффективности операционной деятельности, Дирекция процессов и аналитики, Управление эффективности процессов сопровождения расчетов и налично-денежного обращения, Отдел эффективности сопровождения расчетов;3;Охват клиентов в разрезе сегментов (2), Link (1)
Департамент клиентского опыта и координации розничного бизнеса, Дирекция развития клиентского опыта, Управление улучшения клиентского опыта и внедрения сервис-дизайна;3;Attachment (1), Link (1), description (1)
Департамент операций на финансовых рынках, Дирекция валютно-финансовых операций, Управление клиентских операций, Отдел продаж производных финансовых инструментов;3;Attachment (3)
Департамент продаж и развития малого и микробизнеса, Дирекция по эффективности вторичных продаж, Отдел развития страховых и комиссионных решений;2;status (1), Оценка выполнения (1)
Департамент развития кросс-блочных процессов и предложений для предпринимателей;2;resolution (1), status (1)
Департамент кредитования корпоративного бизнеса, Дирекция факторинга корпоративного бизнеса, Управление развития клиентских сервисов факторинга;2;summary (1), Ценность для клиента (1)
Департамент по развитию клиентской базы ЮЛ, Дирекция по развитию CRM продаж и коммуникациям с ЮЛ и ИП, Управление по развитию CRM продаж и коммуникациям с малым и микро бизнесом;2;resolution (1), status (1)
Департамент по управлению эффективностью и реализации проектов информационных технологий, Дирекция информационных технологий в г. Санкт-Петербурге, Центр разработки цифровых сервисов;2;Attachment (1), Link (1)
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел улучшения клиентского опыта в продуктах и процессах;2;assignee (1), Описание проекта/задачи бизнеса (1)
Департамент развития платформы электронной коммерции, Дирекция продаж, Управление развития и обслуживания;2;RemoteIssueLink (2)
Департамент развития процессов сервиса и взыскания, Дирекция технологического развития, Управление бизнес-аналитики и администрирования, Отдел бизнес-аналитики сервиса;2;description (1), Ссылка в Базе знаний (1)
